season,teams,superflex,mc_points,greedy_points,adp_points
2022,14,1,1845.134,1854.034,1677.9259999999997
2022,14,1,1861.5040000000001,1837.002,1743.264
2022,14,1,1800.2959999999998,1824.8120000000001,1725.2740000000001
2022,14,1,1832.662,1810.7199999999998,1569.916
2022,14,1,1828.5040000000004,1826.91,1749.39
2022,14,1,1877.3159999999998,1849.6540000000002,1644.0
2022,14,1,1846.808,1837.9,1779.702
2022,14,1,1840.956,1801.4180000000001,1642.8760000000002
2022,14,1,1835.4540000000002,1802.0099999999998,1626.4560000000001
2023,8,0,1391.214,1374.2660000000003,1342.852
2023,8,0,1380.088,1368.2440000000001,1288.822
2023,8,0,1363.14,1383.036,1311.7720000000002
2023,8,0,1393.6160000000002,1384.3940000000002,1194.382
2023,8,0,1385.8700000000001,1375.828,1223.252
2023,8,0,1381.118,1379.044,1087.1200000000001
2023,8,0,1397.1639999999998,1414.6960000000004,1181.2459999999999
2023,8,0,1380.45,1371.324,1386.686
2023,8,0,1396.05,1385.5140000000001,1191.482
2023,8,0,1373.604,1397.96,1216.5600000000002
2023,8,0,1388.0479999999998,1373.6360000000002,1343.5
2023,8,0,1457.294,1394.978,1298.976
2023,8,0,1371.8879999999997,1387.2240000000002,1185.556
2023,8,0,1384.7659999999998,1392.894,910.9200000000001
2023,8,0,1374.9099999999999,1382.6140000000003,949.97
2023,8,0,1375.634,1394.8560000000002,1192.348
2023,8,0,1380.5479999999998,1384.5600000000002,1253.92
2023,8,0,1401.998,1390.67,974.1400000000001
2023,8,0,1409.9080000000001,1386.8200000000002,938.8400000000001
2023,8,0,1385.9200000000003,1399.4360000000001,1169.058
2023,8,0,1388.5,1397.068,944.3799999999999
2023,8,0,1361.32,1376.516,1326.172
2023,8,0,1363.694,1385.758,1233.55
2023,8,0,1397.2,1391.8440000000003,1374.29
2023,8,0,1373.7959999999998,1379.6900000000003,1344.4599999999998
2023,8,0,1379.55,1380.546,1145.74
2023,8,0,1387.196,1387.678,1352.9240000000002
2023,8,0,1396.3060000000003,1356.154,1209.578
2023,8,0,1409.626,1388.7100000000003,1259.4
2023,8,0,1391.5339999999999,1380.31,1224.6799999999998
2023,8,0,1375.834,1396.2900000000002,1297.0260000000003
2023,8,0,1397.818,1406.5760000000002,1411.4840000000002
2023,8,0,1353.19,1364.4440000000002,1228.236
2023,8,0,1380.96,1387.854,1304.056
2023,8,0,1404.724,1387.678,1255.0800000000002
